Test Name,MCS,Bandwidth,Frequency,Rate Control,Guard Interval,Tx Gain,Packet Size,Packets Transmitted,Packets Received,Packet Loss (%),Ping Sequence,Ping Time (ms),Test Length (seconds),Receiver Bit Rate,Jitter,Receiver Lost/Total Datagrams,Receiver BER (%),Iperf Second,Iperf Bitrate (Mbits/sec),RSSI Sequence Index,RSSI,SNR
point100_1Mhz_outdoor,1,1M,8635,ON,LONG,14,108.0,20,20.0,,1.0,14.2,60.0,0.133,123.342,160/539,30,1,0.694,1.0,-102.0,0.0
,,,,,,,,,,,2.0,12.7,,,,,,2,0.0,2.0,-103.0,0.0
,,,,,,,,,,,3.0,10.9,,,,,,3,0.116,3.0,-103.0,0.0
,,,,,,,,,,,4.0,10.9,,,,,,4,0.0,4.0,-103.0,0.0
,,,,,,,,,,,5.0,10.9,,,,,,5,0.0,5.0,-102.0,0.0
,,,,,,,,,,,6.0,10.9,,,,,,6,0.116,6.0,-102.0,2.0
,,,,,,,,,,,7.0,11.0,,,,,,7,0.0,7.0,-100.0,4.0
,,,,,,,,,,,8.0,7.91,,,,,,8,0.116,8.0,-101.0,3.0
,,,,,,,,,,,9.0,10.9,,,,,,9,0.0,9.0,-102.0,1.0
,,,,,,,,,,,10.0,10.9,,,,,,10,0.116,10.0,-102.0,1.0
,,,,,,,,,,,11.0,21.9,,,,,,11,0.116,11.0,-101.0,4.0
,,,,,,,,,,,12.0,23.0,,,,,,12,0.232,12.0,-100.0,5.0
,,,,,,,,,,,13.0,37.9,,,,,,13,0.348,13.0,-100.0,4.0
,,,,,,,,,,,14.0,10.0,,,,,,14,0.232,14.0,-102.0,2.0
,,,,,,,,,,,15.0,10.9,,,,,,15,0.348,15.0,-102.0,1.0
,,,,,,,,,,,16.0,11.8,,,,,,16,0.347,,,
,,,,,,,,,,,17.0,15.0,,,,,,17,0.348,,,
,,,,,,,,,,,18.0,34.9,,,,,,18,0.347,,,
,,,,,,,,,,,19.0,21.9,,,,,,19,0.232,,,
,,,,,,,,,,,20.0,23.9,,,,,,20,0.116,,,
,,,,,,,,,,,,,,,,,,21,0.348,,,
,,,,,,,,,,,,,,,,,,22,0.463,,,
,,,,,,,,,,,,,,,,,,23,0.116,,,
,,,,,,,,,,,,,,,,,,24,0.116,,,
,,,,,,,,,,,,,,,,,,25,0.463,,,
,,,,,,,,,,,,,,,,,,26,0.348,,,
,,,,,,,,,,,,,,,,,,27,0.116,,,
,,,,,,,,,,,,,,,,,,28,0.348,,,
,,,,,,,,,,,,,,,,,,29,0.0,,,
,,,,,,,,,,,,,,,,,,30,0.116,,,
