Test Name,MCS,Bandwidth,Frequency,Rate Control,Guard Interval,Tx Gain,Packet Size,Packets Transmitted,Packets Received,Packet Loss (%),Ping Sequence,Ping Time (ms),Test Length (seconds),Receiver Bit Rate,Jitter,Receiver Lost/Total Datagrams,Receiver BER (%),Iperf Second,Iperf Bitrate (Mbits/sec),RSSI Sequence Index,RSSI,SNR
point10_1Mhz_outdoor,7,1M,8635,ON,LONG,14,108.0,20,17.0,,1,7.19,,,,,,,,,,
,,,,,,,,,,,2,5.90,,,,,,,,,,
,,,,,,,,,,,3,5.90,,,,,,,,,,
,,,,,,,,,,,4,41.9,,,,,,,,,,
,,,,,,,,,,,5,5.95,,,,,,,,,,
,,,,,,,,,,,6,34.9,,,,,,,,,,
,,,,,,,,,,,7,52.0,,,,,,,,,,
,,,,,,,,,,,8,67.0,,,,,,,,,,
,,,,,,,,,,,9,39.0,,,,,,,,,,
,,,,,,,,,,,10,28.8,,,,,,,,,,
,,,,,,,,,,,11,75.9,,,,,,,,,,
,,,,,,,,,,,12,21.0,,,,,,,,,,
,,,,,,,,,,,13,26.0,,,,,,,,,,
,,,,,,,,,,,14,21.0,,,,,,,,,,
,,,,,,,,,,,15,16.9,,,,,,,,,,
,,,,,,,,,,,16,15.9,,,,,,,,,,
,,,,,,,,,,,17,20.9,,,,,,,,,,
