Test Name,MCS,Bandwidth,Frequency,Rate Control,Guard Interval,Tx Gain,Packet Size,Packets Transmitted,Packets Received,Packet Loss (%),Ping Sequence,Ping Time (ms),Test Length (seconds),Receiver Bit Rate,Jitter,Receiver Lost/Total Datagrams,Receiver BER (%),Iperf Second,Iperf Bitrate (Mbits/sec),RSSI Sequence Index,RSSI,SNR
point50_1Mhz_outdoor,4,1M,8635,ON,LONG,14,108.0,20,15.0,,1.0,34.4,60.0,1.04,15.367,0/2760,0,1,1.39,1.0,-91.0,16.0
,,,,,,,,,,,2.0,21.9,,,,,,2,0.927,2.0,-92.0,15.0
,,,,,,,,,,,3.0,20.9,,,,,,3,1.04,3.0,-93.0,14.0
,,,,,,,,,,,4.0,19.9,,,,,,4,1.16,4.0,-92.0,14.0
,,,,,,,,,,,5.0,11.9,,,,,,5,1.04,5.0,-91.0,15.0
,,,,,,,,,,,6.0,9.93,,,,,,6,0.927,6.0,-91.0,15.0
,,,,,,,,,,,7.0,5.92,,,,,,7,1.16,7.0,-91.0,15.0
,,,,,,,,,,,8.0,5.93,,,,,,8,1.04,8.0,-91.0,16.0
,,,,,,,,,,,9.0,28.9,,,,,,9,1.16,9.0,-91.0,16.0
,,,,,,,,,,,10.0,31.5,,,,,,10,1.16,10.0,-92.0,15.0
,,,,,,,,,,,11.0,33.0,,,,,,11,1.04,11.0,-94.0,12.0
,,,,,,,,,,,12.0,5.95,,,,,,12,1.16,12.0,-93.0,12.0
,,,,,,,,,,,13.0,5.98,,,,,,13,1.04,13.0,-93.0,12.0
,,,,,,,,,,,14.0,9.95,,,,,,14,1.16,14.0,-94.0,12.0
,,,,,,,,,,,15.0,5.95,,,,,,15,1.04,15.0,-94.0,13.0
,,,,,,,,,,,,,,,,,,16,1.16,,,
,,,,,,,,,,,,,,,,,,17,1.16,,,
,,,,,,,,,,,,,,,,,,18,1.16,,,
,,,,,,,,,,,,,,,,,,19,1.04,,,
,,,,,,,,,,,,,,,,,,20,1.04,,,
,,,,,,,,,,,,,,,,,,21,1.16,,,
,,,,,,,,,,,,,,,,,,22,1.04,,,
,,,,,,,,,,,,,,,,,,23,1.04,,,
,,,,,,,,,,,,,,,,,,24,1.04,,,
,,,,,,,,,,,,,,,,,,25,0.927,,,
,,,,,,,,,,,,,,,,,,26,0.927,,,
,,,,,,,,,,,,,,,,,,27,0.927,,,
,,,,,,,,,,,,,,,,,,28,0.927,,,
,,,,,,,,,,,,,,,,,,29,0.927,,,
,,,,,,,,,,,,,,,,,,30,1.04,,,
