Test Name,MCS,Bandwidth,Frequency,Rate Control,Guard Interval,Tx Gain,Packet Size,Packets Transmitted,Packets Received,Packet Loss (%),Ping Sequence,Ping Time (ms),Test Length (seconds),Receiver Bit Rate,Jitter,Receiver Lost/Total Datagrams,Receiver BER (%),Iperf Second,Iperf Bitrate (Mbits/sec),RSSI Sequence Index,RSSI,SNR
point125_1Mhz_outdoor,4,1M,8635,ON,LONG,14,108.0,20,18.0,,1.0,13.6,60.0,0.735,16.847,0/1940,0,1,1.16,1.0,-102.0,1.0
,,,,,,,,,,,2.0,12.8,,,,,,2,0.463,2.0,-91.0,15.0
,,,,,,,,,,,3.0,11.9,,,,,,3,0.463,3.0,-91.0,16.0
,,,,,,,,,,,4.0,8.92,,,,,,4,0.579,4.0,-92.0,16.0
,,,,,,,,,,,5.0,11.9,,,,,,5,0.579,5.0,-94.0,14.0
,,,,,,,,,,,6.0,10.9,,,,,,6,0.695,6.0,-94.0,13.0
,,,,,,,,,,,7.0,11.9,,,,,,7,0.579,7.0,-94.0,14.0
,,,,,,,,,,,8.0,11.9,,,,,,8,0.695,8.0,-93.0,14.0
,,,,,,,,,,,9.0,11.9,,,,,,9,0.579,9.0,-93.0,14.0
,,,,,,,,,,,10.0,7.94,,,,,,10,0.811,10.0,-93.0,13.0
,,,,,,,,,,,11.0,12.2,,,,,,11,0.579,11.0,-93.0,13.0
,,,,,,,,,,,12.0,11.9,,,,,,12,0.579,12.0,-93.0,14.0
,,,,,,,,,,,13.0,12.9,,,,,,13,0.695,13.0,-94.0,14.0
,,,,,,,,,,,14.0,11.9,,,,,,14,0.695,14.0,-93.0,13.0
,,,,,,,,,,,15.0,11.9,,,,,,15,0.579,15.0,-93.0,14.0
,,,,,,,,,,,16.0,11.9,,,,,,16,0.579,,,
,,,,,,,,,,,17.0,11.9,,,,,,17,0.695,,,
,,,,,,,,,,,18.0,7.93,,,,,,18,0.811,,,
,,,,,,,,,,,,,,,,,,19,0.695,,,
,,,,,,,,,,,,,,,,,,20,0.927,,,
,,,,,,,,,,,,,,,,,,21,0.695,,,
,,,,,,,,,,,,,,,,,,22,0.927,,,
,,,,,,,,,,,,,,,,,,23,0.811,,,
,,,,,,,,,,,,,,,,,,24,0.927,,,
,,,,,,,,,,,,,,,,,,25,0.811,,,
,,,,,,,,,,,,,,,,,,26,0.695,,,
,,,,,,,,,,,,,,,,,,27,1.16,,,
,,,,,,,,,,,,,,,,,,28,0.927,,,
,,,,,,,,,,,,,,,,,,29,1.16,,,
,,,,,,,,,,,,,,,,,,30,0.927,,,
